monthly_income,monthly_expense_total,savings_rate,budget_goal,financial_scenario,credit_score,debt_to_income_ratio,loan_payment,investment_amount,subscription_services,emergency_fund,transaction_count,fraud_flag,discretionary_spending,essential_spending,rent_or_mortgage,financial_advice_score,actual_savings,savings_goal_met,net_cash_flow,expense_ratio,debt_pressure,financial_buffer,saving_behavior,spending_efficiency,lifestyle_burden,debt_ratio_flag,low_emergency_flag,income_type_Mixed,income_type_Salary,category_Education,category_Entertainment,category_Groceries,category_Healthcare,category_Insurance,category_Investments,category_Rent,category_Transportation,category_Utilities,cash_flow_status_Neutral,cash_flow_status_Positive,financial_stress_level_Low,financial_stress_level_Medium
3119.58,3212.07,0.38,3676.11,0,721.0,0.56,125.77,689.22,3,510.58,68,0,857.55,1910.85,1501.65,8.3,0.0,0,-92.49000000000024,1.029318267757917,70.4312,0.15890721335047164,0.0,0.5947115998095279,0.27480468374468847,1,0,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False
3262.44,3732.81,0.1,2607.17,0,670.0,0.42,454.19,360.34,4,1154.41,41,0,534.51,3165.2,1603.17,22.6,0.0,0,-470.3699999999999,1.1438267594930502,190.75979999999998,0.30917748894560787,0.0,0.8477131937618678,0.16378729193734218,1,0,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False
2931.2,3335.58,0.15,3004.14,0,691.0,0.24,971.82,0.0,5,1433.02,90,0,353.67,1504.56,1097.82,58.8,0.0,0,-404.3800000000001,1.1375690607734807,233.23680000000002,0.4294876790006534,0.0,0.45092879535332586,0.12061591978719052,0,0,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False
3506.79,2327.59,0.17,3346.97,1,717.0,0.16,482.76,182.06,5,227.37,94,0,594.08,1450.72,1155.64,74.5,1179.2,0,1179.1999999999998,0.6635488441440338,77.2416,0.09764277953611412,0.33616607607639,0.6230036202165259,0.1693601954506969,0,1,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False
4606.87,2182.58,0.34,2670.09,0,795.0,0.25,263.74,342.78,9,589.81,73,0,556.86,1000.0,1170.86,38.7,2424.29,0,2424.29,0.473663536514702,65.935,0.27011146832266275,0.5261194434738827,0.4579635277846473,0.12084976355669756,0,0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
4028.39,3876.57,0.26,2079.72,2,643.0,0.43,323.2,451.11,8,1131.03,56,0,431.04,2330.01,548.67,53.7,151.82,0,151.8199999999997,0.9620736637555561,138.976,0.29168525648795507,0.03767815972144667,0.6008943745696403,0.1069740084727465,1,0,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True
4145.45,3035.61,0.15,2215.8,1,683.0,0.3,609.88,730.42,8,995.12,69,0,443.5,2860.3,637.04,74.7,1109.84,0,1109.8399999999997,0.7320985421263974,182.964,0.32770754229222715,0.26766028771599804,0.9419385433098093,0.10695896489768357,0,0,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
3202.37,2689.51,0.25,3650.48,1,655.0,0.24,524.64,224.15,4,732.71,65,0,602.88,3526.55,1453.18,83.1,512.86,0,512.8599999999997,0.8395876842200558,125.91359999999999,0.27233126804955193,0.1601001445352863,1.310736626141512,0.1882017999793967,0,0,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True
4765.11,2628.56,0.06,2813.81,1,715.0,0.52,103.3,0.0,7,1623.05,99,0,733.67,2503.65,1675.75,71.6,2136.55,0,2136.5499999999997,0.5515105610235601,53.716,0.6172325408053059,0.4482796242638127,0.9521174645187789,0.15393476021325567,1,0,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False
3581.79,3370.8,0.13,2195.92,1,749.0,0.52,643.48,261.39,9,1057.1,91,0,464.34,1691.26,682.16,77.9,210.99,0,210.98999999999978,0.9408310283326682,334.6096,0.31351207070407494,0.058889859578708216,0.50158965537695,0.1296029072315151,1,0,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False
